content,appear_time,mode,font_size,color,send_time,user_hash,row_id
牢懿展示神力,69.05,5,25,16777215,2025-04-18 18:35:57,2d037bb7,1827721296722098432
这不闪现吃雪豹,48.163,5,25,16777215,2025-04-18 18:35:04,cd8af84d,1827720851068984320
《你自己闯进来的》,160.351,5,25,16707842,2025-04-18 18:36:55,6ae54114,1827721782086660608
在一吨毒中找到一粒米,114.371,5,25,16777215,2025-04-18 18:38:31,d3b84b2e,1827722594615459328
敖影:我没意见,186.282,5,25,16777215,2025-04-18 18:41:52,3e1abc55,1827724278998091520
小兵:你不能走,32.735,5,25,15138834,2025-04-18 18:34:54,d796905e,1827720773944219904
筷子砸塑料袋的声音,19.366,5,25,16777215,2025-04-18 18:42:55,fdc9f10d,1827724804326235648
公孙离：你能反杀我？,177.693,5,25,15138834,2025-04-18 19:34:37,272493,1827750822692983296
项羽别回头，我是虞姬,86.874,1,25,16777215,2025-04-18 18:44:43,d5e9a9f9,1827725711604569088
《经典菜系》,10.94,5,25,15138834,2025-04-18 18:35:21,277a2044,1827720994019083264
这一技能用的，和姬小满似的。,131.37,1,25,16777215,2025-04-18 21:21:00,931f62cb,1827804369878800640
拿到专属厨具了（doge）,3.97,1,25,16777215,2025-04-18 18:34:51,876e1c7f,1827720746378691584
打野4寄，老头5级,52.347,5,25,15138834,2025-04-18 18:35:26,7166f1d1,1827721039560553216
0/4起手吗？有点意思哈，根儿,120.173,1,25,16707842,2025-04-18 18:37:56,e6110d0d,1827722298195553792
司马懿：王者荣耀设计师！,71.715,5,25,16777215,2025-04-18 18:35:53,86f0c8b1,1827721268770999552
来人！砸音响（doge,106.626,5,25,16707842,2025-04-18 18:37:29,157d08f8,1827722073381037056
小龙人飞得比老头大招时间都久,192.087,1,25,16777215,2025-04-18 21:38:15,dc47f1ca,1827813056492302336
王唯楚,75.696,1,25,16777215,2025-04-18 18:36:00,17420a95,1827721325662721280
血包（尊严）：逃过一劫,48.053,5,25,16707842,2025-04-18 18:35:26,91d2cb38,1827721041708464640
喜欢玩什么？,223.779,5,25,16707842,2025-04-18 18:45:18,1e9f7cca,1827726004643743232
糕手过招，点到为止,25.922,1,25,16777215,2025-04-18 18:35:39,55ad0d9e,1827721151389532160
闪现留着不吃血宝不完美,44.24,1,25,16777215,2025-04-18 18:36:11,9e37ce81,1827721415630671360
